Major,Small Major Cluster,Large Major Cluster,Job Title,Small Job Title Cluster,Large Job Title Cluster
COJO Persuasion/Soc Influence,Marketing & Communication,HUMANITIES & COMMUNICATION,Associate Regulatory Affairs Specialist,Health & Science Research,Health & Science Research
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Software Engineer,Software & Data,Software & Data
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Marketing Coordinator,Management & Ops,Management & Ops
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Customer and innovation analyst,Management & Ops,Management & Ops
Economics,Economics,SOCIAL SCIENCES & EDUCATION,Associate finance analyst,Finance & Accounting,Finance & Accounting
Biology,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Associate Chemist,Health & Science Research,Health & Science Research
Mechanical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",Design Assurance Engineer,Engineering,Engineering
Electrical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",Automation Engineer,Engineering,Engineering
Environmental Studies,Physical & Environmental Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Assistant Department Manager,Management & Ops,Management & Ops
Criminal Justice,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Building Materials Assistant Manager,Management & Ops,Management & Ops
Biology of Global Health,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Consulting Analyst,Health & Science Research,Health & Science Research
Spanish Linguistics/Lang. St.,"Languages, Arts & Humanities",HUMANITIES & COMMUNICATION,Vocational Counselor,Health & Science Research,Health & Science Research
English - Creative Writing,Marketing & Communication,HUMANITIES & COMMUNICATION,Legal Assistant,Health & Science Research,Health & Science Research
Political Science,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Abstractor,Management & Ops,Management & Ops
Sociology,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Cashiering,Management & Ops,Management & Ops
Catholic Studies,"Languages, Arts & Humanities",HUMANITIES & COMMUNICATION,Laborer,Health & Science Research,Health & Science Research
Neuroscience,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Research assistant,Health & Science Research,Health & Science Research
Biology,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Field Biologist,Software & Data,Software & Data
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Accounting Intern in the University of St. Thomas Controller's Office,Finance & Accounting,Finance & Accounting
Neuroscience,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Direct Support Professional,Education & Social Service,Education & Social Service
Actuarial Science,Finance & Accounting,BUSINESS & MANAGEMENT,Actuarial Analyst,Finance & Accounting,Finance & Accounting
Biology,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Clinical Research Coordinator,Management & Ops,Management & Ops
Biology of Global Health,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Clinic Assistant,Health & Science Research,Health & Science Research
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Area Manager,Management & Ops,Management & Ops
English - Creative Writing,Marketing & Communication,HUMANITIES & COMMUNICATION,Director of Communications,Sales & Marketing,Sales & Marketing
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,"Account Manager, Partnership Activation",Sales & Marketing,Sales & Marketing
Political Science,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,DFL House Finance Intern,Finance & Accounting,Finance & Accounting
COJO Strategic Communications,Marketing & Communication,HUMANITIES & COMMUNICATION,Communications Coordinator,Management & Ops,Management & Ops
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",IT2 Asset Coordinator,Engineering,Engineering
Psychology,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Inclusion Coordinator,Education & Social Service,Education & Social Service
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Marketing Operations Specialist,Sales & Marketing,Sales & Marketing
Mechanical Engineering,Engineering,"ENGINEERING, SCIENCE & TECHNOLOGY",Integration Engineer I,Engineering,Engineering
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Software Engineer,Software & Data,Software & Data
Computer Science,Computer Science & IT,"ENGINEERING, SCIENCE & TECHNOLOGY",Software Developer,Software & Data,Software & Data
Neuroscience,Biological & Health Sciences,"ENGINEERING, SCIENCE & TECHNOLOGY",Intern,Health & Science Research,Health & Science Research
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Recruitment Specialist,Management & Ops,Management & Ops
Philosophy,Social Sciences & Humanities,SOCIAL SCIENCES & EDUCATION,Sales Development Representative,Sales & Marketing,Sales & Marketing
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Recruiter Specialist,Management & Ops,Management & Ops
Business Communication,Marketing & Communication,HUMANITIES & COMMUNICATION,Corporate Strategist,Management & Ops,Management & Ops
